function_id,architecture,record,runtime_address,file_offset,size,name,callers,callees,parameters,return_value,side_effects,confidence,sources,name_evidence,size_evidence,unresolved_reason
record0-8051:0x088F,MCS-51/8051,0,0x0000088F,0x000008CF,0x2D,code_88F,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,IDA|raw-8051-CFG,IDA vector name,IDA=0x2D,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0B54,MCS-51/8051,0,0x00000B54,0x00000B94,0x117,code_B54,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x117,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0C23,MCS-51/8051,0,0x00000C23,0x00000C63,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record0-8051:0x0C6B,MCS-51/8051,0,0x00000C6B,0x00000CAB,0x15,code_C6B,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x15,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0C80,MCS-51/8051,0,0x00000C80,0x00000CC0,0xF7,code_C80,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0xF7,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0E7C,MCS-51/8051,0,0x00000E7C,0x00000EBC,0x19,code_E7C,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x19,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0E95,MCS-51/8051,0,0x00000E95,0x00000ED5,0x2D,code_E95,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x2D,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0EC2,MCS-51/8051,0,0x00000EC2,0x00000F02,0x12,code_EC2,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x12,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0ED4,MCS-51/8051,0,0x00000ED4,0x00000F14,0x22,code_ED4,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x22,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0EF6,MCS-51/8051,0,0x00000EF6,0x00000F36,0x13,code_EF6,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x13,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0F09,MCS-51/8051,0,0x00000F09,0x00000F49,0x10,code_F09,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x10,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0F19,MCS-51/8051,0,0x00000F19,0x00000F59,0x26,code_F19,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x26,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x0F3F,MCS-51/8051,0,0x00000F3F,0x00000F7F,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,Ghidra,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record0-8051:0x0FF1,MCS-51/8051,0,0x00000FF1,0x00001031,0x8B,code_FF1,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x8B,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x10A8,MCS-51/8051,0,0x000010A8,0x000010E8,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record0-8051:0x10F6,MCS-51/8051,0,0x000010F6,0x00001136,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record0-8051:0x1135,MCS-51/8051,0,0x00001135,0x00001175,0x7,code_1135,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,IDA,IDA vector name,IDA=0x7,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x118D,MCS-51/8051,0,0x0000118D,0x000011CD,0x7A,code_118D,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x7A,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x1207,MCS-51/8051,0,0x00001207,0x00001247,0x52,code_1207,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x52,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x1259,MCS-51/8051,0,0x00001259,0x00001299,0x4A,code_1259,NONE_RECOVERED,0x00004493,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x4A,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x12A3,MCS-51/8051,0,0x000012A3,0x000012E3,0x38,code_12A3,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x38,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x12DB,MCS-51/8051,0,0x000012DB,0x0000131B,0x33,code_12DB,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x33,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x130E,MCS-51/8051,0,0x0000130E,0x0000134E,0x2B,code_130E,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x2B,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x1339,MCS-51/8051,0,0x00001339,0x00001379,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,single-tool,Ghidra,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record0-8051:0x1344,MCS-51/8051,0,0x00001344,0x00001384,0x1C,code_1344,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x1C,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x1360,MCS-51/8051,0,0x00001360,0x000013A0,0x1A,RESET_0,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA,IDA vector name,IDA=0x1A,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x137A,MCS-51/8051,0,0x0000137A,0x000013BA,0x13,code_137A,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x13,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x138D,MCS-51/8051,0,0x0000138D,0x000013CD,0x12,code_138D,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x12,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x139F,MCS-51/8051,0,0x0000139F,0x000013DF,0xF,code_139F,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0xF,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x13AE,MCS-51/8051,0,0x000013AE,0x000013EE,0xC,code_13AE,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0xC,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x13BA,MCS-51/8051,0,0x000013BA,0x000013FA,0x6,code_13BA,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x6,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record0-8051:0x13C0,MCS-51/8051,0,0x000013C0,0x00001400,0x3,code_13C0,NONE_RECOVERED,0x00000003 0x00001452 0x00001502 0x00001519 0x00001541 0x00002191 0x00002900 0x00003107 0x00003179 0x00003200 0x00003708 0x00003733 0x00003778 0x00003796 0x00003830 0x00003849 0x00003865 0x00004081 0x00004264 0x00004342 0x00004493 0x00004615 0x00004697 0x00004771 0x00004827 0x00004878 0x00004932 0x00004986 0x00005005 0x00005023 0x00005038 0x00005050 0x00005056,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|IDA|raw-8051-CFG,IDA vector name,IDA=0x3,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved
record1-8051:0x0000,MCS-51/8051,1,0x00000000,0x00008060,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record1-8051:0x0003,MCS-51/8051,1,0x00000003,0x00008063,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record1-8051:0x0008,MCS-51/8051,1,0x00000008,0x00008068,UNRESOLVED,UNRESOLVED,0x0000FAA4,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record1-8051:0x000B,MCS-51/8051,1,0x0000000B,0x0000806B,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record1-8051:0x000C,MCS-51/8051,1,0x0000000C,0x0000806C,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record1-8051:0x0013,MCS-51/8051,1,0x00000013,0x00008073,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record1-8051:0x0016,MCS-51/8051,1,0x00000016,0x00008076,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
record1-8051:0x0023,MCS-51/8051,1,0x00000023,0x00008083,UNRESOLVED,UNRESOLVED,NONE_RECOVERED,NONE_RECOVERED,UNRESOLVED,UNRESOLVED,UNRESOLVED; SFR/XDATA map incomplete,cross-tool,Ghidra|raw-8051-CFG,none,no analyzer established an end boundary,parameter ABI not validated; return semantics not validated; XDATA/SFR side effects not exhaustively assigned; caller ownership uses nearest recovered structural entry; computed dispatch remains unresolved; semantic name unavailable; no analyzer established an end boundary
